"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Local Educativo Priorizado (preliminar)"
"060101","CAJAMARCA","093872","82022 MICAELA BASTIDAS","Pública de gestión directa",324,18,"NA",-78.530176,-7.11623,"Sí"
"060101","CAJAMARCA","093886","136","Pública de gestión directa",58,3,"NA",-78.598232,-7.07186,"No"
"060101","CAJAMARCA","093891","137","Pública de gestión directa",152,6,"NA",-78.520883,-7.147427,"No"
"060101","CAJAMARCA","093909","154","Pública de gestión directa",55,3,"NA",-78.552276,-7.104017,"No"
"060101","CAJAMARCA","093914","157 SAN ANTONIO","Pública de gestión directa",145,6,"NA",-78.5083,-7.1485,"No"
"060101","CAJAMARCA","093928","82032","Pública de gestión directa",519,25,"NA",-78.481939,-7.180377,"Sí"
"060101","CAJAMARCA","093933","178","Pública de gestión directa",11,1,"NA",-78.546898,-7.187339,"No"
"060101","CAJAMARCA","093952","183 MOLLEPAMPA BAJA","Pública de gestión directa",201,9,"NA",-78.495083,-7.185884,"No"
"060101","CAJAMARCA","093966","204","Pública de gestión directa",10,1,"NA",-78.578076,-7.069502,"No"
"060101","CAJAMARCA","093985","227","Pública de gestión directa",123,6,"NA",-78.493248,-7.189685,"No"
"060101","CAJAMARCA","094008","246","Pública de gestión directa",64,3,"NA",-78.478938,-7.162591,"No"
"060101","CAJAMARCA","094013","262","Pública de gestión directa",80,4,"NA",-78.52793,-7.16733,"No"
"060101","CAJAMARCA","094027","317","Pública de gestión directa",38,2,"NA",-78.518475,-7.187073,"No"
"060101","CAJAMARCA","094032","320","Pública de gestión directa",52,5,"NA",-78.577549,-7.100055,"No"
"060101","CAJAMARCA","094046","321","Pública de gestión directa",29,2,"NA",-78.500434,-7.205461,"No"
"060101","CAJAMARCA","094051","322","Pública de gestión directa",241,11,"NA",-78.5029,-7.16904,"No"
"060101","CAJAMARCA","094065","349","Pública de gestión directa",9,1,"NA",-78.531599,-7.104935,"No"
"060101","CAJAMARCA","094089","360","Pública de gestión directa",12,1,"NA",-78.590527,-7.110035,"No"
"060101","CAJAMARCA","094112","82001 SAN RAMON","Pública de gestión directa",1911,65,"NA",-78.525021,-7.153166,"Sí"
"060101","CAJAMARCA","094131","82002 TARCISIO ZEGARRA","Pública de gestión directa",549,24,"NA",-78.52287,-7.15638,"Sí"
"060101","CAJAMARCA","094145","NUESTRA SEÑORA DE LA MERCED","Pública de gestión directa",1667,75,"NA",-78.52149,-7.15643,"Sí"
"060101","CAJAMARCA","094150","82004 ZULEMA ARCE SANTISTEBAN","Pública de gestión directa",781,31,"NA",-78.520625,-7.154547,"Sí"
"060101","CAJAMARCA","094169","82005","Pública de gestión directa",624,31,"NA",-78.523161,-7.14621,"Sí"
"060101","CAJAMARCA","094174","82008 SANTA BEATRIZ DE SILVA","Pública de gestión directa",1216,45,"NA",-78.517864,-7.144657,"Sí"
