"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Priorizado (preliminar)"
"130102","EL PORVENIR","657343","CASITA DE SORPRESAS","Privada",368,22,"NA",-79.00141,-8.08339,"Sí"
"130102","EL PORVENIR","657550","FE Y ALEGRIA 63 SANTA MARIA DE LA PROVIDENCIA","Pública de gestión privada",1371,53,"NA",-79.02166,-8.06637,"Sí"
"130102","EL PORVENIR","657710","ESTRELLITAS DE JESUS","Privada",27,3,"NA",-78.99545,-8.07001,"No"
"130102","EL PORVENIR","658470","82105 ESCUELA CONCERTADA SOLARIS","Pública de gestión privada",417,17,"NA",-79.0093,-8.0614,"Sí"
"130102","EL PORVENIR","658620","SEYMOUR PAPERT","Privada",169,10,"NA",-78.99811,-8.08781,"No"
"130102","EL PORVENIR","658700","LORD KEVIN","Privada",728,22,"NA",-79.01119,-8.06639,"Sí"
"130102","EL PORVENIR","658762","SEÑOR DE LA MISERICORDIA","Privada",312,19,"NA",-79.00898,-8.08087,"Sí"
"130102","EL PORVENIR","658781","MI AMIGO DANIEL","Privada",41,2,"NA",-79.00648,-8.0644,"No"
"130102","EL PORVENIR","658984","SEYMOUR PAPERT","Privada",161,8,"NA",-78.99845,-8.0881,"No"
"130102","EL PORVENIR","659530","81765 SIMON LOZANO GARCIA","Pública de gestión directa",1009,39,"NA",-79.024565,-8.07273,"Sí"
"130102","EL PORVENIR","659605","SANTA RITA DE JESUS","Privada",457,18,"NA",-78.99859,-8.08716,"Sí"
"130102","EL PORVENIR","662486","2142 ANGELITOS DE JESUS","Pública de gestión directa",102,5,"NA",-79.0006,-8.0689,"No"
"130102","EL PORVENIR","662491","2143 SEÑOR DE LA MISERICORDIA","Pública de gestión directa",67,3,"NA",-79.004,-8.0643,"No"
"130102","EL PORVENIR","668624","MARIA REINA","Privada",97,9,"NA",-79.0009,-8.08099,"No"
"130102","EL PORVENIR","691926","SEMILLEROS NACIDOS PARA SERVIR","Privada",86,12,"NA",-78.998335,-8.074804,"No"
